ticker,name,description,target_entry,target_exit
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Other,,
ABAT,American Battery Technology Company - Common Stock,Other,,
ABCL,AbCellera Biologics Inc. - Common Shares,Other,,
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Other,,
ABSI,Absci Corporation - Common Stock,Other,,
ABTC,American Bitcoin Corp. - Class A Common Stock,Other,,
ABUS,Arbutus Biopharma Corporation - Common Stock,Other,,
ACB,Aurora Cannabis Inc. - Common Shares,Other,,
ACDC,ProFrac Holding Corp. - Class A Common Stock,Other,,
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Other,,
ACIC,American Coastal Insurance Corporation - Common Stock,Other,,
ACIU,AC Immune SA - Common Stock,Other,,
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Other,,
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Other,,
ACTG,Acacia Research Corporation - Common Stock,Other,,
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Other,,
ADAM,"Adamas Trust, Inc. - Common Stock",Other,,
ADMA,ADMA Biologics Inc - Common Stock,Other,,
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Other,,
ADUR,Aduro Clean Technologies Inc. - Common Stock,Other,,
AEBI,Aebi Schmidt Holding AG - Common Stock,Other,,
AEVA,"Aeva Technologies, Inc. - Common Stock",Other,,
AGEN,Agenus Inc. - Common Stock,Other,,
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Other,,
AGNT,"AGNT, Inc. - Common Stock",Other,,
AGPU,Axe Compute Inc. - Common Stock,Other,,
AHCO,AdaptHealth Corp.  - Common Stock,Other,,
AIIO,Robo.ai Inc. - Class B Ordinary Shares,Other,,
AIOT,"PowerFleet, Inc. - Common Stock",Other,,
AIP,"Arteris, Inc.  - Common Stock",Other,,
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,Other,,
AIRO,"AIRO Group Holdings, Inc. - Common Stock",Other,,
AIRS,"AirSculpt Technologies, Inc. - Common Stock",Other,,
AISP,"Airship AI Holdings, Inc - Class A Common Stock",Other,,
AKBA,"Akebia Therapeutics, Inc. - Common Stock",Other,,
AKTS,"Aktis Oncology, Inc. - Common stock",Other,,
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",Other,,
ALEC,"Alector, Inc. - Common Stock",Other,,
ALKT,"Alkami Technology, Inc. - Common Stock",Other,,
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Other,,
ALLT,Allot Ltd. - Ordinary Shares,Other,,
ALMR,"Alamar Biosciences, Inc. - Class A common stock",Other,,
ALMU,"Aeluma, Inc. - Common Stock",Other,,
ALOY,REalloys Inc. - Common Stock,Other,,
ALRS,Alerus Financial Corporation - Common Stock,Other,,
ALT,"Altimmune, Inc. - Common Stock",Other,,
ALVO,Alvotech - Ordinary Shares,Other,,
ALXO,ALX Oncology Holdings Inc. - Common Stock,Other,,
AMCX,AMC Global Media Inc. - Class A Common Stock,Other,,
AMPG,"Amplitech Group, Inc. - Common Stock",Other,,
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Other,,
AMPL,"Amplitude, Inc. - Class A Common Stock",Other,,
AMSC,American Superconductor Corporation - Common Stock,Other,,
AMSF,"AMERISAFE, Inc. - Common Stock",Other,,
ANGI,Angi Inc. - Class A Common Stock,Other,,
ANGO,"AngioDynamics, Inc. - Common Stock",Other,,
ANIX,"Anixa Biosciences, Inc. - Common Stock",Other,,
ANNA,"AleAnna, Inc. - Class A Common Stock",Other,,
ANNX,"Annexon, Inc. - common stock",Other,,
ANTX,"AN2 Therapeutics, Inc. - Common Stock",Other,,
AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Other,,
APEI,"American Public Education, Inc. - Common Stock",Other,,
APOG,"Apogee Enterprises, Inc. - Common Stock",Other,,
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",Other,,
APXT,Apex Treasury Corporation - Class A Ordinary Share,Other,,
AQST,"Aquestive Therapeutics, Inc. - Common Stock",Other,,
ARBE,Arbe Robotics Ltd. - Ordinary Shares,Other,,
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,Other,,
ARDX,"Ardelyx, Inc. - Common Stock",Other,,
AREC,American Resources Corporation - Class A Common Stock,Other,,
ARHS,"Arhaus, Inc. - Class A Common Stock",Other,,
ARKO,ARKO Corp. - Common Stock,Other,,
ARQ,"Arq, Inc. - Common Stock",Other,,
ARQQ,Arqit Quantum Inc. - Ordinary Shares,Other,,
ARRY,"Array Technologies, Inc. - Common Stock",Other,,
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",Other,,
ARVN,"Arvinas, Inc. - Common Stock",Other,,
ASLE,AerSale Corporation - Common Stock,Other,,
ASMB,"Assembly Biosciences, Inc. - Common Stock",Other,,
ASPI,ASP Isotopes Inc. - Common Stock,Other,,
ASST,"Strive, Inc. - Class A Common Stock",Other,,
ASTH,Astrana Health Inc. - Common Stock,Other,,
ASTL,Algoma Steel Group Inc. - Common Shares,Other,,
ASYS,"Amtech Systems, Inc. - Common Stock",Other,,
ATEC,"Alphatec Holdings, Inc. - Common Stock",Other,,
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares,Other,,
ATLX,Atlas Lithium Corporation - Common Stock,Other,,
ATOM,Atomera Incorporated - Common Stock,Other,,
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",Other,,
ATRC,"AtriCure, Inc. - Common Stock",Other,,
AURA,"Aura Biosciences, Inc. - Common Stock",Other,,
AVBP,"ArriVent BioPharma, Inc. - Common Stock",Other,,
AVIR,"Atea Pharmaceuticals, Inc. - common stock",Other,,
AVLN,Avalyn Pharma Inc. - common stock,Other,,
AVO,"Mission Produce, Inc. - Common Stock",Other,,
AVR,Anteris Technologies Global Corp. - Common Stock,Other,,
AVXL,Anavex Life Sciences Corp. - Common Stock,Other,,
AZ,A2Z Cust2Mate Solutions Corp. - Common Shares,Other,,
AZTA,"Azenta, Inc. - Common Stock",Other,,
BAER,"Bridger Aerospace Group Holdings, Inc. - Common Stock",Other,,
BAND,Bandwidth Inc. - Class A Common Stock,Other,,
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",Other,,
BBCQ,Bleichroeder Acquisition Corp. II - Class A Ordinary Shares,Other,,
BBNX,"Beta Bionics, Inc. - Common Stock",Other,,
BBOT,"BridgeBio Oncology Therapeutics, Inc. - Common Stock",Other,,
BBSI,"Barrett Business Services, Inc. - Common Stock",Other,,
BCAL,California BanCorp - Common Stock,Other,,
BCAR,D. Boral ARC Acquisition I Corp. - Class A Ordinary Shares,Other,,
BCAX,Bicara Therapeutics Inc. - Common Stock,Other,,
BDTX,"Black Diamond Therapeutics, Inc. - Common Stock",Other,,
BETR,Better Home & Finance Holding Company - Class A Common Stock,Other,,
BFST,"Business First Bancshares, Inc. - Common Stock",Other,,
BIOA,"BioAge Labs, Inc. - Common Stock",Other,,
BIYA,Baiya International Group Inc.  - Ordinary Shares,Other,,
BL,"BlackLine, Inc. - Common Stock",Other,,
BLDP,"Ballard Power Systems, Inc. - Common Shares",Other,,
BLKB,"Blackbaud, Inc. - Common Stock",Other,,
BLMN,"Bloomin' Brands, Inc. - Common Stock",Other,,
BLZE,"Backblaze, Inc. - Common Stock",Other,,
BMEA,"Biomea Fusion, Inc. - Common Stock",Other,,
BNAI,Brand Engagement Network Inc. - Common Stock,Other,,
BNC,CEA Industries Inc. - Common Stock,Other,,
BOLD,"Boundless Bio, Inc. - Common Stock",Other,,
BOOM,DMC Global Inc. - Common Stock,Other,,
BRAI,Braiin Limited - Common Stock,Other,,
BRCB,"Black Rock Coffee Bar, Inc. - Class A Common Stock",Other,,
BRR,"ProCap Financial, Inc. - Common Stock",Other,,
BRUN,Boost Run Inc. - Class A Common Stock,Other,,
BSIN,Big Sky Industrial Inc. - Common Stock,Other,,
