ticker,name,description,target_entry,target_exit
AAF.L,Airtel Africa,Telecom Africa,40.0,
AAPL,Apple Inc,Big tech,,
AAXN,Axon Enterprise,Public safety,40.0,
ABBV,AbbVie Common Stock,Pharma,,
ABDP,Ab Dynamics PLC,Electric Testing ev2,,
ABEO,Abeona Therapeutics,Biotech,,
ABM,ABM Industries Inc,Facilities,,
ABNB,Airbnb Inc,Short-term rentals,100.0,
ACA,Arcosa Inc,Building products,,
ACES,ALPS Clean Energy ETF,Clean Energy ETF,,
ADA-USD,Cardano,Crypto,0.5,3.0
ADI,Analog Devices Inc,5G,100.0,
ADSK,Autodesk Inc,3D medical animation,150.0,
AES,AES Corp,Utility,,
AGGP,WisdomTree Agriculture ETF,ETF Grains,,
AHT,Apollo Hospitality Trust,REIT,,
AI,C3.ai Inc,Big Data AI,20.0,50.0
DVLT,Datavault AI,Psychedelics/Crypto,1.0,
AIM,AIM ImmunoTech,Immunotech,,
AIT,Applied Industrial Technologies,Med logistics,55.0,
ALPP,Alpine 4 Holdings,SPAC,,
ALTO,Alto Ingredients Inc,PEIX alternative alcohol,1.0,4.0
AMBA,Ambarella Inc,Space robotics,,
AMCI,AMC Robotics Corp,Robotics,,
AMGN,Amgen Inc,Biotech,,
AMLM,American Lithium Minerals,Lithium play,,
AMRN,Amarin Corporation PLC,Pharma heart,,
AMS:AVTX,Avantium NV,Biofuel,,
AMT,American Tower Corp,Cell towers REIT,,
AMTX,Aemetis Inc,Carbon solar,,
AMWL,American Well Corp,Telemed,,
ANAB,AnaptysBio Inc,Pharma,14.0,
ANET,Arista Networks,Networking,,
ANIC.L,Agronomics Ltd,Cultivated meat,5.0,15.0
API,Agora Inc,Clubhouse client,,
APO,Apollo Global Management,PE,,
APPN,Appian Corp,SaaS,,
APPS,Digital Turbine Inc,Mobile ads,4.5,
APT,Alpha Pro Tech,PPE,,
AQB,Aquabounty Technologies,Fishing tech,,
ARCO,Arcos Dorados Holdings,Restaurants,,
ARTL,Artelo Biosciences Inc,Cannabis x Cancer,,
ASP.AX,Aspermont Ltd,Mining publisher,,
ASTC,Astrotech Corp,Tech,3.0,15.0
ASTI,Ascent Solar Technologies,Solar clean energy,3.0,
ATHA.CN,Athena Gold Corp,Gold,,
ATOS,Atossa Therapeutics,Ovarian cancer,,
ATVK,Globaltek Ventures Inc,Tech,,
AUPH,Aurinia Pharmaceuticals,Pharma,,
AVAV,AeroVironment Inc,Drones,,
AVAX-USD,Avalanche,Crypto,30.0,100.0
AVB,AvalonBay Communities Inc,REIT,,
AVON.L,Avon Technologies PLC,Defence equipment,,
AVTX,Avalo Therapeutics Inc,Pharma,,
AZN,AstraZeneca PLC US,Pharma,,
BABA,Alibaba Group Holding ADR,Chinese e-commerce,80.0,
BABYF,Else Nutrition Holdings,Plantbased baby nutrition,,
BARC,Barclays PLC,UK bank,90.0,300.0
BATT,Amplify Lithium & Battery Tech,Battery ETF,10.0,
BAVA,Bitwise Avalanche ETF,Mpox vaccine,,
BAYRY,Bayer AG,Pharma,30.0,75.0
BB,BlackBerry Ltd,EV tech,,
BBBY,Bed Bath & Beyond,Retail meme,,
BBOX.L,Tritax Big Box REIT PLC,Warehouse REIT,120.0,160.0
BC,Brunswick Corp,Marine,,
BE,Bloom Energy Corp,Fuel cells,,
BEEM,Beam Global,EV Charging/Solar,,
BEP,Brookfield Renewable Partners LP,Renewable Energy,,
BEPC,Brookfield Renewable Corp,Renewable,39.51,
BETZ,Roundhill Sports Betting ETF,Sports betting ETF,18.78,
BFIT.AS,Basic-Fit NV,Gym,20.0,
PSFE,Paysafe Ltd,Paysafe payments SPAC,,
BHP,BHP Group Ltd,Mining,35.0,
BHVN,Biohaven Ltd,Biotech,,
BIDU,Baidu Inc,E-commerce China,80.0,300.0
BIIB,Biogen Inc,Biotech,,
BILI,Bilibili Inc ADR,Chinese social media,10.0,
BIRD,Allbirds,Apparel,10.0,
BLFS,BioLife Solutions Inc,Biotech tools,,
BLNK,Blink Charging Co,EV charging,3.0,
BMBL,Bumble Inc,Dating app,4.0,
BMNR,Bitmine Immersion Technologies,Bitcoin mining,30.0,
BNB-USD,Binance Coin,Crypto,300.0,1000.0
BNTX,BioNTech SE ADR,Pharma mRNA,,
BOSC,BOS Better Online Solutions,Electronics telecom,,
BOWL.L,Hollywood Bowl Group,Bowling,307.5,
BOX,Box Inc,Cloud storage,,
BOXL,Boxlight Corp,EdTech,,
BRNT.L,WisdomTree Brent Crude ETC,Oil ETF,,
BTC-USD,Bitcoin,Tier 1 crypto,60000.0,100000.0
BUD,Anheuser-Busch InBev,Beverages,,
BUI,BlackRock Utility Infrastructure,Infrastructure,,
BW,Babcock & Wilcox Enterprises,Sustainable Energy,,
BX,Blackstone Inc,PE,,
BXP,BXP Inc,REIT,,
BYG,Big Yellow Group plc,Storage,800.0,2000.0
BYND,Beyond Meat Inc,Veganism,10.0,50.0
BYRN,Byrna Technologies Inc,Defence ammo,,
CACI,CACI International,Defence,,
CAL,Caleres Inc,Footwear,6.0,
CAN,Canaan Inc ADR,Crypto mining,,
CBAT,CBAK Energy Technology Inc,Battery,,
CCI,Crown Castle Inc,Cell towers REIT,,
CCJ,Cameco Corp,Nuclear,20.0,
CELH,Celsius Holdings Inc,Energy drinks,30.0,50.0
CEW,WisdomTree Emerging Currency,EM FX ETF,,
CGC,Canopy Growth Corp,Cannabis CBD therapy,,
CGRO,CoreValues Alpha Greater China Growth ETF,China ETF,,
CHPT,ChargePoint Holdings,EV Charging,,
CHRG.L,WisdomTree Battery Solutions UCITS,Battery Value Chain,,
CHWY,Chewy Inc,Pets,20.0,
CINGF,Coinsilium Group,Crypto,,
CLIS.TA,Clal Insurance Enterprises Holdings,Israeli insurance,,
CLLS,Cellectis SA,Gene Editing,,
CLNE,Clean Energy Fuels Corp,Clean energy,2.0,
CLOV,Clover Health Investments,Ai play,4.14,
CLSK,CleanSpark Inc,Crypto mining,6.0,
CLVR,Clever Leaves Holdings,Medical cannabis,,
CMCM,Cheetah Mobile Inc,Owns Cleanmaster,1.5,
CMCX,CMC Markets Plc,Trading platform,77.0,400.0
CMGR,Clubhouse Media Group,Media,,
