date,ticker,adjusted_score,pool
2026-08-07,MTCH,0.656,curated
2026-08-09,AQB,0.570,curated
2026-08-10,AQB,0.570,curated
2026-08-11,DOCU,0.592,curated
2026-08-12,DOCU,0.570,curated
2026-08-13,PLTXF,0.577,curated
2026-08-14,MTCH,0.500,curated
2026-08-17,PLTXF,0.579,curated
2026-08-18,PLTXF,0.580,curated
2026-08-19,VANI,0.524,curated
2026-08-20,SBET,0.555,curated
2026-08-21,ETHE,0.544,curated
2026-08-24,SBET,0.532,curated
2026-08-25,ETHE,0.549,curated
2026-08-26,CLOV,0.529,curated
2026-08-28,PYPL,0.509,curated
2026-08-29,PYPL,0.509,curated
2026-08-31,ETHE,0.565,curated
2026-09-01,ETHE,0.525,curated
2026-09-02,ETHE,0.514,curated
2026-09-03,AI,0.521,curated
2026-09-04,ATVK,0.586,curated
2026-09-07,ETHE,0.538,curated
2026-09-08,ETHE,0.542,curated
2026-09-09,ETHE,0.540,curated
2026-09-11,PTON,0.597,curated
2026-09-14,PTON,0.502,curated
2026-09-15,ENZC,0.586,curated
2026-09-16,PLTXF,0.599,curated
2026-09-17,LON:HOC,0.509,curated
2026-09-18,LON:HOC,0.514,curated
2026-09-21,AVAX-USD,0.557,curated
2026-09-22,DOGE-USD,0.565,curated
2026-09-23,PTON,0.609,curated
2026-09-24,NYSE:HL,0.653,curated
